City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,Pension Maro'i
12,Bandarbeyla,SO,80.38,overcast clouds,9.4942,50.8122,JABIR HOTEL
13,Biak,ID,76.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
16,Ko Samui,TH,84.56,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
23,Jamestown,US,82.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Georgetown,MY,80.53,moderate rain,5.4112,100.3354,Cititel Penang
34,Piacabucu,BR,79.66,clear sky,-10.4056,-36.4344,Piaçabuçu News
36,Kasongo-Lunda,CD,86.18,broken clouds,-6.4667,16.8167,
37,Palmeira Das Missoes,BR,77.54,scattered clouds,-27.8994,-53.3136,Hotel De Carli
38,Port Hawkesbury,CA,80.91,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
43,Savannah Bight,HN,89.65,few clouds,16.45,-85.85,Villa on Dunbar Rock
47,Albany,US,86.18,few clouds,42.6001,-73.9662,
54,Metkovic,HR,77.47,scattered clouds,43.0542,17.6483,Neretva Valley Apartments
61,Hamilton,US,84.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
62,Atuona,PF,78.33,overcast clouds,-9.8,-139.0333,Villa Enata
63,Labuhan,ID,80.11,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
65,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
69,Scottsbluff,US,88.79,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
74,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Santo Domingo,DO,87.93,scattered clouds,18.5001,-69.9886,Cabañas City Heart
87,Coahuayana,MX,85.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
89,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
93,Ishigaki,JP,80.22,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
95,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
97,Cidreira,BR,77.49,clear sky,-30.1811,-50.2056,Hotel Castelo
100,Tamiahua,MX,85.35,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
101,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,Xenia,US,83.91,clear sky,39.6848,-83.9296,Ramada by Wyndham Xenia
103,Cape Canaveral,US,88.21,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
