City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,35.71,93,20,8.03,CL,few clouds
1,Bambous Virieux,-20.3428,57.7575,74.21,83,75,8.84,MU,broken clouds
2,New Norfolk,-42.7826,147.0587,46.65,66,64,1.01,AU,broken clouds
3,Sunrise Manor,36.2111,-115.0731,97.45,16,1,5.75,US,clear sky
4,Rikitea,-23.1203,-134.9692,75.33,80,100,10.11,PF,overcast clouds
5,Necochea,-38.5473,-58.7368,56.03,48,75,13.33,AR,broken clouds
6,Mataura,-46.1927,168.8643,49.48,95,57,1.45,NZ,broken clouds
7,Port Elizabeth,-33.918,25.5701,62.89,77,0,8.05,ZA,clear sky
8,Ushuaia,-54.8,-68.3,33.42,93,75,6.91,AR,broken clouds
9,Port Hardy,50.6996,-127.4199,50.18,93,75,5.75,CA,light rain
10,Kaitangata,-46.2817,169.8464,45.93,78,100,5.88,NZ,overcast clouds
11,Vila Franca Do Campo,37.7167,-25.4333,68.41,69,78,5.14,PT,broken clouds
12,Bandarbeyla,9.4942,50.8122,80.38,82,100,26.71,SO,overcast clouds
13,Biak,-0.9131,122.8766,76.53,81,95,6.08,ID,overcast clouds
14,Swan Hill,-35.3378,143.5544,51.8,63,72,7.67,AU,broken clouds
15,Atar,20.5169,-13.0499,102.81,14,55,20.62,MR,broken clouds
16,Ko Samui,9.5357,99.9357,84.56,71,100,15.5,TH,overcast clouds
17,Yellowknife,62.456,-114.3525,59.29,77,75,0.0,CA,broken clouds
18,Huarmey,-10.0681,-78.1522,70.14,72,38,10.6,PE,scattered clouds
19,Oyon,-10.6681,-76.7731,55.17,53,22,2.73,PE,few clouds
20,Menongue,-14.6585,17.691,68.88,23,35,5.3,AO,scattered clouds
21,Cape Town,-33.9258,18.4232,66.61,40,0,3.53,ZA,clear sky
22,Port Lincoln,-34.7333,135.8667,58.05,91,54,12.06,AU,broken clouds
23,Jamestown,42.097,-79.2353,82.09,47,1,20.71,US,clear sky
24,Biltine,14.5333,20.9167,104.54,9,61,14.83,TD,broken clouds
25,Tuktoyaktuk,69.4541,-133.0374,33.8,86,90,11.5,CA,overcast clouds
26,Busselton,-33.65,115.3333,56.08,76,12,10.85,AU,few clouds
27,Georgetown,5.4112,100.3354,80.53,92,40,3.0,MY,moderate rain
28,Vaini,-21.2,-175.2,66.36,88,20,2.3,TO,few clouds
29,Saskylakh,71.9167,114.0833,36.79,77,96,5.55,RU,overcast clouds
30,Tasiilaq,65.6145,-37.6368,36.75,98,100,7.49,GL,light rain
31,Troitsko-Pechorsk,62.7084,56.1964,73.4,36,34,6.89,RU,scattered clouds
32,Bredasdorp,-34.5322,20.0403,63.72,68,0,2.89,ZA,clear sky
33,Airai,-8.9266,125.4092,57.74,92,79,3.13,TL,broken clouds
34,Piacabucu,-10.4056,-36.4344,79.66,78,7,14.36,BR,clear sky
35,Khani,41.9563,42.9566,58.57,89,97,3.53,GE,overcast clouds
36,Kasongo-Lunda,-6.4667,16.8167,86.18,35,73,4.23,CD,broken clouds
37,Palmeira Das Missoes,-27.8994,-53.3136,77.54,45,30,15.21,BR,scattered clouds
38,Port Hawkesbury,45.6169,-61.3485,80.91,65,20,6.91,CA,few clouds
39,Alyangula,-13.8483,136.4192,60.67,100,19,9.73,AU,few clouds
40,Arman,59.7,150.1667,40.41,95,100,9.04,RU,light rain
